  Dim.     Num. di       Media     Piazzamenti
griglia    partite     tentativi     falliti  
-----------------------------------------------
   8        1000           21           0

   9        1000           34           0

  10        1000           28           0

  11        1000          174           1 nave da 1  5 di 5

  11         100          140           1 nave da 1  5 di 5

  11         100          188           1 nave da 1  5 di 5

  11         100          210           1 nave da 1  5 di 5

  11          10          121           1 nave da 1  5 di 5

  11          10           62           1 nave da 1  4 di 5

  11          10          107           1 nave da 1  3 di 5

  11          10          199           0

  11          10          111           0

  11          10          140           0

  11          10           89           0

  11          10          120           0

  11          10          107           0

  11          10          105           0

  12        1000          240           1 nave da 1  6 di 6

  12         100           36           1 nave da 1  6 di 6

  12         100           10           1 nave da 1  6 di 6

  12         100           57           1 nave da 1  6 di 6

  12          10          122           1 nave da 1  6 di 6

  12          10          168           0

  12          10          124           0

  13        1000           15           1 nave da 1  6 di 6

  13         100          111           0

  13         100          123           0

  13         100          120           0

  14        1000          100           0

  15        1000           73           0

  16        1000           91           0

  17        1000           79           0

  18        1000           81           0

  19        1000           84           0

  20        1000           77           0
