Griglia Navi  Celle  G^2   Perc.  C+C  P+C    P+C st.  Navi
-------------------------------------------------------------------------------
 8       7    14      64   22.0    84  131.3   94.0    1x4  1x3  2x2  3x1 
 9       9    19      81   23.0   111  137.0   98.0    1x4  2x3  3x2  3x1 
10      10    20     100   20.0   120  120.0   85.0    1x4  2x3  3x2  4x1 
11      15    35     121   29.0   195  161.2  115.0    1x5  2x4  3x3  4x2  5x1 
12      18    41     144   28.0   231  160.4  115.0    1x5  2x4  4x3  5x2  6x1 
13      19    45     169   27.0   249  147.3  105.0    1x5  3x4  4x3  5x2  6x1 
14      21    48     196   24.0   270  137.8   98.0    1x5  3x4  4x3  6x2  7x1 
15      21    48     225   21.0   270  120.0   85.0    1x5  3x4  4x3  6x2  7x1 
16      24    57     256   22.0   315  123.0   88.0    2x5  3x4  5x3  6x2  8x1 
17      25    59     289   20.0   327  113.1   81.0    2x5  3x4  5x3  7x2  8x1 
18      27    64     324   20.0   354  109.3   78.0    2x5  4x4  5x3  7x2  9x1 
19      29    69     361   19.0   381  105.5   75.0    2x5  4x4  6x3  8x2  9x1 
20      30    70     400   18.0   390   97.5   69.0    2x5  4x4  6x3  8x2  10x1 
